0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,ave_change
-124619766.3147944,-16247673.5189479,605322.9941907203,-534771.378879547,-1192.5702736644437,-99.42494931823471,-27.775338515062735,-1.7841257820837524,-10.406660634973907,-2.628474486426011,8.65316708993233,-7.204268151340734,30.10881340927749,60.94038287173328,12.61790327375648,1.9815049352755107,-1.0715633382971297,0.4777711645643097,0.04666666666666667
-76035152.77592592,-14147832.343944792,-223391.88368767285,-295583.717228894,-651.2467833453151,-99.02134862204628,-43.02794114366194,-75.4759233684062,-1.7207597288795309,-78.18545825242938,7.904325796528734,-3.92589300124018,13.826127706505755,8.918975552864943,-16.078815981413566,-1.7404695217791815,0.8178245160779871,0.019139736463157368,0.02
-95248882.04748127,-14995551.313159,700388.5857549914,-591209.0256905596,-1261.34334446138,-53.327956319200084,-30.164170395068442,-12.401522211272416,-22.223716765002607,-77.72501388667223,0.6783916003721182,8.804532053656535,11.821480023137125,8.867000514914974,-13.433207412609342,0.46639283663446834,0.2900205202323996,0.030881763392856462,-0.006666666666666668
-104674992.04054703,-16910476.26324034,-330458.2754639684,-215077.5176305587,-668.117140766583,-50.723225599932995,-45.40047362788687,1.9481802992142747,-4.795344072959978,-56.38519705062373,-2.246018453782127,13.574159905202343,17.238349502397824,-5.969431774729487,-9.6282416094019,-0.9515683893847556,0.511939141346753,0.0003551971689095964,-0.023333333333333334
-82253426.81626263,-16411134.860666776,-165579.83705911756,-312551.02034028847,-722.0544116576947,-60.11228671211381,-35.44994741987849,14.736201500731385,-11.081553548397336,-23.533492801285536,8.493759221354804,-8.036328281485865,10.73070362776782,0.536932422099452,-0.8517568100205622,-0.9860546334620673,0.10234328846317524,0.13617104387809453,-0.09000000000000001
-130214304.6724885,-19466936.602820456,-298825.58275895147,-187444.35973123103,-689.2347096973383,-49.23696604570551,-38.05265324577614,-11.187993487191555,-6.936339647690557,-35.04933776432247,4.313097531487185,-1.8810616297509175,16.802147452267075,-1.3121799867034558,-3.975596042703561,-0.44392822830380113,-0.0237334245574485,0.06689086283994458,-0.07
-131378580.12707204,-18820653.597869966,-401799.29120214883,-150414.3570310344,-645.1499763842352,-57.2356889563687,-37.219313285627535,-12.724372028270086,2.2344935189788084,-4.233314391788743,-4.381718667071541,-4.256929805102873,20.9901327464282,8.63670074610453,4.584257515572108,-1.7051627522362085,-0.009808590927194097,0.17598448651780654,-0.05666666666666667
-117001410.68552831,-16028564.523244962,-259845.06559341273,-230513.7841589541,-700.6898534582103,-114.8845487681497,-21.503843126742368,58.27467567058333,6.589592955527998,89.58496743978127,-6.738649171240627,-9.741436208629864,39.19471490428125,65.74119133481139,35.611245493273344,-1.8983715831627717,-0.9814069870069555,0.6380374311748144,-0.02333333333333333
-122882372.65393342,-17668836.789266374,-458566.04850833805,-145398.60225451275,-561.1785666894942,-104.3695102565218,-34.522384119955966,-55.826175952250075,18.277217387258307,39.70918130928067,1.3888278505388347,-14.104973165393522,28.861257718043717,36.818978831861756,18.06980310643456,-0.6518523529746729,-1.2808925167758887,0.4666037435972116,-0.08333333333333333
-100965603.55067061,-17836952.604523983,-569266.0357887854,-143400.25215431774,-511.81964254382865,-111.2694055522899,-36.44477066628914,-22.391141883341596,1.3401327499176092,50.90928993632764,0.17976876069748282,-6.999974836388294,30.967462201835055,36.62911378326911,20.779832180213422,-1.1393768635038524,-0.8309253824602998,0.44524144151063977,-0.03
