ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
601318.SH,20170428,37.9,38.07,37.61,37.96,37.82,0.14,0.37,678663.87,2568647.819,-0.04666666666666667,-0.0010605665047958412,1,1
601318.SH,20170502,37.8,38.38,37.8,37.91,37.96,-0.05,-0.13,619325.39,2359210.184,-0.21666666666666667,-0.12466595083475064,0,0
601318.SH,20170503,37.95,38.28,37.82,38.0,37.91,0.09,0.24,505383.86,1920918.7719999999,-0.06999999999999999,-0.26578300217787376,0,-1
601318.SH,20170504,37.95,38.1,37.73,37.82,38.0,-0.18,-0.47,548573.55,2080732.8930000002,0.056666666666666664,-0.008033518592516078,0,0
601318.SH,20170505,37.7,37.86,37.2,37.26,37.82,-0.56,-1.48,623979.6,2337681.712,0.86,0.18410156508286846,1,0
601318.SH,20170508,37.26,38.12,37.24,37.79,37.26,0.53,1.42,952932.43,3609995.3039999995,0.66,0.6172922686735794,1,1
601318.SH,20170509,37.71,38.08,37.71,37.99,37.79,0.2,0.53,595182.93,2258188.097,0.9866666666666667,0.6238892416159317,1,1
601318.SH,20170510,38.03,40.05,38.01,39.84,37.99,1.85,4.87,1589203.71,6249692.993,0.3533333333333333,0.27281199375788423,1,1
601318.SH,20170511,39.8,40.09,39.56,39.77,39.84,-0.07,-0.18,827794.46,3296766.9110000003,0.43999999999999995,0.3531172430515295,1,1
601318.SH,20170512,39.7,41.3,39.7,40.95,39.77,1.18,2.97,1200171.19,4897614.123,-0.17666666666666667,0.06894168535868378,0,0
601318.SH,20170515,41.22,41.96,40.62,40.9,40.95,-0.05,-0.12,716224.2,2960377.186,-0.09333333333333334,-0.3190497014919912,0,-1
601318.SH,20170516,40.9,41.3,40.68,41.09,40.9,0.19,0.46,629862.81,2582208.68,-0.026666666666666672,-0.16722717970609616,0,0
601318.SH,20170517,41.0,41.09,40.19,40.42,41.09,-0.67,-1.63,779106.38,3156764.5130000003,0.8066666666666666,0.1812873709201818,1,0
601318.SH,20170518,40.06,41.08,40.06,40.62,40.42,0.2,0.49,581678.8,2368295.17,0.8500000000000001,0.6987320788701381,1,1
601318.SH,20170519,40.59,41.33,40.59,41.01,40.62,0.39,0.96,420467.64,1727706.874,0.6733333333333333,0.763317114114762,1,1
